case_id,strategy,variant_id,kind,primary_variant,spacing_x_mm,spacing_y_mm,spacing_z_mm,spacing_as_expected,segmentation_threshold_frozen,strength,stage_a_component_count,stage_a_total_volume_mm3,stage_a_largest_component_mm3,stage_a_largest_component_ratio,stage_a_second_component_ratio,stage_a_n_components_ge_5mm3,stage_a_n_components_lt_5mm3,stage_a_median_component_volume_mm3,stage_a_median_gap_to_larger_mm,stage_a_min_gap_to_larger_mm,stage_a_n_components_within_1p2mm,correction_components_before,correction_components_after,correction_bridges_added,correction_added_volume_mm3,correction_removed_volume_mm3,connected_components_corrected,pred_voxels,pred_volume_mm3_corrected,dice_corrected,precision_corrected,recall_corrected,jaccard,tp_voxels,fp_voxels,fn_voxels,gt_volume_mm3_corrected,volume_diff_from_gt_mm3,volume_diff_from_gt_relative,cldice_corrected,topology_precision_corrected,topology_sensitivity_corrected,hd95_corrected,hd,assd_corrected,masd_pred_to_gt,masd_gt_to_pred,skeleton_voxels,skeleton_length_mm_approx,skeleton_endpoints_corrected,skeleton_branchpoints_corrected,skeleton_components,centerline_mean_mm_corrected,centerline_p95_mm,provenance_checked,provenance_ok,authoritative_dice,dice_abs_delta,mesh_attempted,corrected_mask_path,mesh_mask_path,mesh_status,mesh_target_wall_thickness_mm,mesh_voxel_connected_component_count,mesh_watertight_corrected,mesh_non_manifold_edge_count_corrected,mesh_connected_component_count,mesh_surface_area_mm2,mesh_volume_mm3_corrected,mesh_bbox_x_mm,mesh_bbox_y_mm,mesh_bbox_z_mm,mesh_edge_length_min_mm,mesh_edge_length_median_mm,mesh_edge_length_mean_mm,mesh_raw_stl,mesh_repaired_stl,mesh_smoothed_stl,mesh_repair_success,mesh_surface_roughness_pre_mean,mesh_surface_roughness_pre_max,mesh_surface_roughness_post_mean,mesh_surface_roughness_post_max,mesh_smoothing_volume_change_relative,mesh_wall_thickness_compliance_fraction,mesh_slicer_compatibility_proxy,mesh_phaseb_source,mesh_slicability_planes_total,mesh_slicability_planes_intersecting,mesh_slicability_planes_closed,mesh_slicability_closed_fraction_corrected,mesh_slicable,mesh_mask_centroid_world_x,mesh_mask_centroid_world_y,mesh_mask_centroid_world_z,mesh_mesh_centroid_world_x,mesh_mesh_centroid_world_y,mesh_mesh_centroid_world_z,mesh_mesh_to_mask_centroid_mm_corrected,mesh_integrity_pass_corrected,repaired_stl,geom_vs_gt_geometry_status,geom_vs_gt_distance_method,geom_vs_gt_n_sample_points_a,geom_vs_gt_n_sample_points_b,geom_vs_gt_chamfer_mm,geom_vs_gt_symmetric_mean_surface_distance_mm,geom_vs_gt_symmetric_p95_surface_distance_mm,geom_vs_gt_hausdorff_mm,geom_vs_gt_directed_mean_a_to_b_mm,geom_vs_gt_directed_mean_b_to_a_mm,geom_vs_gt_mesh_volume_a_mm3,geom_vs_gt_mesh_volume_b_mm3,geom_vs_gt_mesh_volume_change_mm3,geom_vs_gt_mesh_volume_change_relative,geom_vs_gt_centroid_displacement_mm,geom_vs_gt_bbox_extent_change_x_mm,geom_vs_gt_bbox_extent_change_y_mm,geom_vs_gt_bbox_extent_change_z_mm,geom_vs_gt_bbox_extent_change_norm_mm,reference_volume_mm3,volume_diff_from_original_mm3,volume_diff_from_original_relative,dice_vs_original_prediction,geom_vs_original_geometry_status,geom_vs_original_distance_method,geom_vs_original_n_sample_points_a,geom_vs_original_n_sample_points_b,geom_vs_original_chamfer_mm,geom_vs_original_symmetric_mean_surface_distance_mm,geom_vs_original_symmetric_p95_surface_distance_mm,geom_vs_original_hausdorff_mm,geom_vs_original_directed_mean_a_to_b_mm,geom_vs_original_directed_mean_b_to_a_mm,geom_vs_original_mesh_volume_a_mm3,geom_vs_original_mesh_volume_b_mm3,geom_vs_original_mesh_volume_change_mm3,geom_vs_original_mesh_volume_change_relative,geom_vs_original_centroid_displacement_mm,geom_vs_original_bbox_extent_change_x_mm,geom_vs_original_bbox_extent_change_y_mm,geom_vs_original_bbox_extent_change_z_mm,geom_vs_original_bbox_extent_change_norm_mm,dice_original,cldice_original,hd95_original,connected_components_original,precision_original,recall_original,pred_volume_mm3_original,assd_original,centerline_mean_mm_original,skeleton_endpoints_original,skeleton_branchpoints_original,mesh_integrity_pass_original,topology_precision_original,topology_sensitivity_original,gt_volume_mm3_original,mesh_slicability_closed_fraction_original,mesh_mesh_to_mask_centroid_mm_original,mesh_non_manifold_edge_count_original,mesh_watertight_original,mesh_volume_mm3_original,components_original,components_corrected,delta_dice,delta_cldice,delta_hd95,delta_assd,delta_precision,delta_recall,delta_pred_volume_mm3,delta_centerline_mean_mm,delta_components
1000,s1_absolute_volume,s1_absolute_volume__mm3_0.216,absolute_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,0.216,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,9,0,0.0,0.0,9,33279,7188.264856907878,0.7841487639174053,0.7057904384146159,0.8820790145711281,0.6449380817705044,23488,9791,3140,5751.6486856499,1436.6161712579787,0.24977467327625041,0.896689029431023,0.8377777777777777,0.9645120405576679,3.7947333429912047,17.90977457958963,0.7699345683677657,1.0553722450928897,0.4504268514785025,900,540.0000214576721,26,25,7,1.1207815745837566,5.939697197989351,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1000,s1_absolute_volume,s1_absolute_volume__mm3_1,absolute_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,1.0,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,8,0,0.0,0.4320000514981075,8,33277,7187.83285685638,0.7841749436607962,0.7058328575292244,0.8820790145711281,0.6449735013867149,23488,9789,3140,5751.6486856499,1436.1841712064806,0.249699564368334,0.8977566800491908,0.8396436525612472,0.9645120405576679,3.7947333429912047,17.90977457958963,0.7693247950897878,1.0542547051124636,0.4504268514785025,898,538.8000214099884,24,25,6,1.1084198851215477,5.909314915892731,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-0.4320000514981075,-6.009795967422627e-05,0.9999699501171946,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,8,2.617974339091944e-05,0.0010676506181678258,0.0,-0.0006097732779779541,4.2419114608560626e-05,0.0,-0.4320000514981075,-0.012361689462208947,-1
1000,s1_absolute_volume,s1_absolute_volume__mm3_2,absolute_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,2.0,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,7,0,0.0,2.3760002832405007,7,33268,7185.888856624638,0.7842927741418458,0.7060238066610557,0.8820790145711281,0.6451329378158647,23488,9780,3140,5751.6486856499,1434.2401709747382,0.2493615742827099,0.9015135625162516,0.8462401795735129,0.9645120405576679,3.6986485487524687,17.90977457958963,0.7656590364997704,1.047478288744867,0.4504268514785025,891,534.6000212430954,24,25,6,1.0557934847595458,5.663551230746642,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-2.3760002832405007,-0.00033053877820837097,0.9998347032924099,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,7,0.00014401022444054945,0.004824533085228566,-0.09608479423873595,-0.004275531867995341,0.00023336824643982457,0.0,-2.3760002832405007,-0.06498808982421078,-2
1000,s1_absolute_volume,s1_absolute_volume__mm3_5,absolute_volume_filter,True,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,5.0,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,7,0,0.0,2.3760002832405007,7,33268,7185.888856624638,0.7842927741418458,0.7060238066610557,0.8820790145711281,0.6451329378158647,23488,9780,3140,5751.6486856499,1434.2401709747382,0.2493615742827099,0.9015135625162516,0.8462401795735129,0.9645120405576679,3.6986485487524687,17.90977457958963,0.7656590364997704,1.047478288744867,0.4504268514785025,891,534.6000212430954,24,25,6,1.0557934847595458,5.663551230746642,,,,,True,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/1000/mask__s1_absolute_volume__mm3_5.nii.gz,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/1000/mask__s1_absolute_volume__mm3_5.nii.gz,ok,3.0,7.0,True,0.0,6.0,8214.607700162727,7060.302841653618,112.80000448226929,99.60000395774841,87.0000034570694,0.4242640855706679,0.6000000238418579,0.589291222193643,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s1_absolute_volume__mm3_5/case_outputs/1000__s1_absolute_volume__mm3_5/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s1_absolute_volume__mm3_5/case_outputs/1000__s1_absolute_volume__mm3_5/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s1_absolute_volume__mm3_5/case_outputs/1000__s1_absolute_volume__mm3_5/segmentation_smoothed.stl,True,0.5840763634420101,3.141592653589793,0.5270143944371587,3.1404698574224024,-0.0030101516871570214,0.08804256342431165,True,"phaseb_mesh_qc.run_phaseb_for_case (repository implementation, unmodified)",50.0,50.0,50.0,1.0,True,-23.978032715915134,178.83428585728916,-180.29005081846088,-27.6351542101309,178.82314883018637,-181.4617630588418,3.840256662136803,True,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s1_absolute_volume__mm3_5/case_outputs/1000__s1_absolute_volume__mm3_5/segmentation_repaired.stl,ok,exact_point_to_surface,77801.0,81671.0,1.3937583141618883,0.7043145578136458,3.5999984741210938,17.870014162347115,0.39048685071262496,1.0032714634492634,5637.861512633685,7060.302660939411,1422.4411483057256,0.25230154112835645,1.2294649579229662,0.6000003814697266,1.1999969482421875,2.399993896484375,2.7495388407361396,7188.264856907878,-2.3760002832405007,-0.00033053877820837097,0.9998347032924099,ok,exact_point_to_surface,81713.0,81671.0,0.002901334262908588,0.0014510397809142004,7.105427357601002e-15,6.406254239727138,0.0029003090209149826,1.0252419936053282e-06,7061.877662341317,7060.302660939411,-1.5750014019058654,-0.0002230287010358212,0.03474312175134203,0.0,0.0,0.0,0.0,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,7,0.00014401022444054945,0.004824533085228566,-0.09608479423873595,-0.004275531867995341,0.00023336824643982457,0.0,-2.3760002832405007,-0.06498808982421078,-2
1000,s1_absolute_volume,s1_absolute_volume__mm3_10,absolute_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,10.0,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,6,0,0.0,8.640001029967607,6,33239,7179.624855877911,0.7846726911320093,0.706639790607419,0.8820790145711281,0.645647214052063,23488,9751,3140,5751.6486856499,1427.9761702280111,0.24827249511792096,0.9047588637888474,0.8519774011299435,0.9645120405576679,3.6496576632032918,17.90977457958963,0.7619602036835126,1.040961933878826,0.4504268514785025,885,531.0000211000443,24,25,6,1.0382506536840526,5.5430824426606184,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-8.640001029967607,-0.0012019591934852845,0.9993986590095914,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,6,0.0005239272146040364,0.00806983435782438,-0.14507567978791291,-0.007974364684253166,0.0008493521928031322,0.0,-8.640001029967607,-0.08253092089970404,-3
1000,s1_absolute_volume,s1_absolute_volume__mm3_27,absolute_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,27.0,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,3,0,0.0,68.90400821399726,3,32960,7119.360848693881,0.7883466469759012,0.7126213592233009,0.8820790145711281,0.6506371191135734,23488,9472,3140,5751.6486856499,1367.7121630439815,0.237794802463572,0.9151915733867546,0.8706697459584296,0.9645120405576679,2.9393878081405864,17.90977457958963,0.7107251164914924,0.9473052167162402,0.4504268514785025,866,519.600020647049,18,25,3,0.9557550000168827,4.697626467869816,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-68.90400821399726,-0.009585624568045922,0.9951841060402482,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,3,0.004197883058495888,0.018502543955731587,-0.8553455348506183,-0.059209451876273356,0.0068309208086850814,0.0,-68.90400821399726,-0.16502657456687386,-6
1000,s1_absolute_volume,s1_absolute_volume__mm3_50,absolute_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,50.0,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,2,0,0.0,106.70401272010804,2,32785,7081.56084418777,0.7906687088684294,0.7164251944486808,0.8820790145711281,0.6538065414057064,23488,9297,3140,5751.6486856499,1329.9121585378707,0.2312227730208802,0.9247321705566903,0.8881036513545347,0.9645120405576679,2.2837459147961794,17.90977457958963,0.6927165872541423,0.9151912862703306,0.4504268514785025,849,509.40002024173737,16,25,2,0.9140517349301599,3.542995585987361,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-106.70401272010804,-0.014844196039544389,0.9925224025187697,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,2,0.006519944951024148,0.028043141125667304,-1.5109874281950253,-0.07721798111362344,0.01063475603406494,0.0,-106.70401272010804,-0.2067298396535967,-7
1000,s2_relative_volume,s2_relative_volume__frac_0.001,relative_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,0.001,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,7,0,0.0,2.3760002832405007,7,33268,7185.888856624638,0.7842927741418458,0.7060238066610557,0.8820790145711281,0.6451329378158647,23488,9780,3140,5751.6486856499,1434.2401709747382,0.2493615742827099,0.9015135625162516,0.8462401795735129,0.9645120405576679,3.6986485487524687,17.90977457958963,0.7656590364997704,1.047478288744867,0.4504268514785025,891,534.6000212430954,24,25,6,1.0557934847595458,5.663551230746642,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-2.3760002832405007,-0.00033053877820837097,0.9998347032924099,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,7,0.00014401022444054945,0.004824533085228566,-0.09608479423873595,-0.004275531867995341,0.00023336824643982457,0.0,-2.3760002832405007,-0.06498808982421078,-2
1000,s2_relative_volume,s2_relative_volume__frac_0.005,relative_volume_filter,False,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,0.005,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,5,0,0.0,26.136003115653693,5,33158,7162.128853792225,0.7857357909878567,0.7083660051872851,0.8820790145711281,0.6470879938288611,23488,9670,3140,5751.6486856499,1410.480168142325,0.24523058434730352,0.9113200699776615,0.86368843069874,0.9645120405576679,3.4467377248838638,17.90977457958963,0.7523641270373406,1.024097804583428,0.4504268514785025,873,523.800020813942,22,25,5,1.0029614011811805,4.8725698167099685,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7188.264856907878,-26.136003115653693,-0.0036359265602932196,0.9981787257100712,,,,,,,,,,,,,,,,,,,,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,5,0.001587027070451441,0.01463104054663844,-0.3479956181073409,-0.01757044133042518,0.0025755667726692355,0.0,-26.136003115653693,-0.11782017340257611,-4
1000,s2_relative_volume,s2_relative_volume__frac_0.01,relative_volume_filter,True,0.6000000238418579,0.6000000238418579,0.6000000238418579,True,0.5,0.01,9,7188.264856907878,4042.0084818449213,0.5623065596922985,0.7519905947736867,7,2,21.384002549171548,2.9698485989946755,0.8485281711413358,2,9,2,0,0.0,106.70401272010804,2,32785,7081.56084418777,0.7906687088684294,0.7164251944486808,0.8820790145711281,0.6538065414057064,23488,9297,3140,5751.6486856499,1329.9121585378707,0.2312227730208802,0.9247321705566903,0.8881036513545347,0.9645120405576679,2.2837459147961794,17.90977457958963,0.6927165872541423,0.9151912862703306,0.4504268514785025,849,509.40002024173737,16,25,2,0.9140517349301599,3.542995585987361,,,,,True,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/1000/mask__s2_relative_volume__frac_0.01.nii.gz,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/case_outputs/1000/mask__s2_relative_volume__frac_0.01.nii.gz,ok,3.0,2.0,True,0.0,2.0,7961.820942076636,6965.172830313238,112.80000448226929,99.60000395774841,84.60000336170197,0.4242640855706679,0.6000000238418579,0.5892349107631627,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s2_relative_volume__frac_0.01/case_outputs/1000__s2_relative_volume__frac_0.01/segmentation_raw.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s2_relative_volume__frac_0.01/case_outputs/1000__s2_relative_volume__frac_0.01/segmentation_repaired.stl,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s2_relative_volume__frac_0.01/case_outputs/1000__s2_relative_volume__frac_0.01/segmentation_smoothed.stl,True,0.5799088604936926,3.141592653589793,0.5203112894567072,3.1404698574224024,-0.0026132822335814465,0.08933963702912917,True,"phaseb_mesh_qc.run_phaseb_for_case (repository implementation, unmodified)",50.0,50.0,50.0,1.0,True,-23.777860331793505,178.98306734912438,-180.13149489912115,-27.337598944556447,179.17248968189077,-181.1681275647631,3.7124422008729,True,/Users/angadkumar16ak/Projects/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/mesh_qc/s2_relative_volume__frac_0.01/case_outputs/1000__s2_relative_volume__frac_0.01/segmentation_repaired.stl,ok,exact_point_to_surface,77801.0,80701.0,1.2595794627989236,0.6341680884800781,2.317231771612163,17.824141575071582,0.3904868507126259,0.8690926120862977,5637.861512633685,6965.172668406602,1327.3111557729162,0.23542812337596292,1.46482131645634,0.6000003814697266,1.1999969482421875,0.0,1.3416382275242387,7188.264856907878,-106.70401272010804,-0.014844196039544389,0.9925224025187697,ok,exact_point_to_surface,81713.0,80701.0,0.16895763175301395,0.0850052025283167,1.4210854715202004e-14,12.427391942625139,0.16895763175301212,1.8339781535881605e-15,7061.877662341317,6965.172668406602,-96.70499393471528,-0.01369394919575163,0.5754781655062124,0.0,0.0,-2.399993896484375,2.399993896484375,0.7841487639174053,0.896689029431023,3.7947333429912047,9,0.7057904384146159,0.8820790145711281,7188.264856907878,0.7699345683677657,1.1207815745837566,26,25,True,0.8377777777777777,0.9645120405576679,5751.6486856499,1.0,3.841830590328547,0.0,True,7061.877841841374,9,2,0.006519944951024148,0.028043141125667304,-1.5109874281950253,-0.07721798111362344,0.01063475603406494,0.0,-106.70401272010804,-0.2067298396535967,-7
